---------------------------
Episode 0
Step: 23 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.61364535 0.61634035]
Step: 24 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.61364535 0.61634035]
Step: 25 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5113279  0.56315845 0.56585345 0.61364535 0.61634035]
Step: 26 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5113279  0.56820714 0.56585345 0.61364535 0.61634035]
Step: 27 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5113279  0.56820714 0.57090214 0.61364535 0.61634035]
Step: 28 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.57090214 0.65228081 0.61634035]
Step: 29 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.61381193 0.65228081 0.61634035]
Step: 30 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.61381193 0.68705273 0.61634035]
Step: 31 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.61381193 0.68705273 0.65470631]
---------------------------
Episode 3
Step: 3 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.65243073 0.68705273 0.65470631]
Step: 4 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.65243073 0.71834746 0.65470631]
Step: 5 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.65243073 0.71834746 0.68923568]
---------------------------
Episode 4
Step: 3 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5113279  0.56820714 0.65611123 0.71834746 0.68923568]
Step: 4 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.65611123 0.74651271 0.68923568]
Step: 5 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.6905001  0.74651271 0.68923568]
Step: 6 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.6905001  0.77186144 0.68923568]
Step: 7 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.56820714 0.6905001  0.77186144 0.72031211]
---------------------------
Episode 5
Step: 3 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5113279  0.56820714 0.69348131 0.77186144 0.72031211]
Step: 4 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5113279  0.56820714 0.69348131 0.77186144 0.72031211]
Step: 5 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5113279  0.56820714 0.69348131 0.77186144 0.72031211]
Step: 6 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.5113279  0.56820714 0.69348131 0.75149601 0.72031211]
Step: 7 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5113279  0.56820714 0.69348131 0.75149601 0.71762903]
Step: 8 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5113279  0.56820714 0.69348131 0.75149601 0.71762903]
Step: 9 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5113279  0.56820714 0.69589608 0.75149601 0.71762903]
Step: 10 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5113279  0.58653603 0.69589608 0.75149601 0.71762903]
Step: 11 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5113279  0.58653603 0.69806937 0.75149601 0.71762903]
Step: 12 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.58653603 0.69806937 0.77634641 0.71762903]
Step: 13 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.58653603 0.69806937 0.77634641 0.74586613]
Step: 14 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.58653603 0.69806937 0.79871177 0.74586613]
Step: 15 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5113279  0.58653603 0.69806937 0.79871177 0.77127952]
---------------------------
Episode 6
Step: 3 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5113279  0.58653603 0.69806937 0.79871177 0.77127952]
Step: 4 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.5113279  0.58653603 0.69806937 0.79871177 0.77127952]
Step: 5 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5113279  0.58653603 0.69806937 0.79871177 0.77127952]
Step: 6 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.5113279  0.58653603 0.69806937 0.77749419 0.77127952]
Step: 7 | State: 1 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5113279  0.58653603 0.67939523 0.77749419 0.77127952]
Step: 8 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5113279  0.52788242 0.67939523 0.77749419 0.77127952]
Step: 9 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5113279  0.52788242 0.6114557  0.77749419 0.77127952]
Step: 10 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.5113279  0.47509418 0.6114557  0.77749419 0.77127952]
Step: 11 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.46019511 0.47509418 0.6114557  0.77749419 0.77127952]
---------------------------
Episode 7
Step: 3 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.46019511 0.47509418 0.6114557  0.77749419 0.77127952]
Step: 4 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.46019511 0.47509418 0.6114557  0.77749419 0.77127952]
Step: 5 | State: 1 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.46019511 0.47509418 0.59632964 0.77749419 0.77127952]
Step: 6 | State: 0 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.46019511 0.47509418 0.59632964 0.77749419 0.77127952]
Step: 7 | State: 1 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.46019511 0.47509418 0.58271619 0.77749419 0.77127952]
Step: 8 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.46019511 0.42758476 0.58271619 0.77749419 0.77127952]
Step: 9 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.41417559 0.42758476 0.58271619 0.77749419 0.77127952]
Step: 10 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.41417559 0.38482629 0.58271619 0.77749419 0.77127952]
Step: 11 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.37275804 0.38482629 0.58271619 0.77749419 0.77127952]
---------------------------
Episode 8
Step: 3 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.37275804 0.38482629 0.58271619 0.77749419 0.77127952]
Step: 4 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.37275804 0.38482629 0.58271619 0.77749419 0.77127952]
Step: 5 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.37275804 0.38482629 0.58271619 0.77749419 0.77127952]
Step: 6 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.37275804 0.38482629 0.58271619 0.77749419 0.77127952]
Step: 7 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.37275804 0.38482629 0.58271619 0.77749419 0.77127952]
Step: 8 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.37275804 0.38482629 0.58271619 0.77749419 0.77127952]
Step: 9 | State: 1 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.37275804 0.38482629 0.56172037 0.77749419 0.77127952]
Step: 10 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.37275804 0.34634366 0.56172037 0.77749419 0.77127952]
Step: 11 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.37275804 0.34634366 0.50554834 0.77749419 0.77127952]
Step: 12 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.37275804 0.31170929 0.50554834 0.77749419 0.77127952]
Step: 13 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.33548223 0.31170929 0.50554834 0.77749419 0.77127952]
---------------------------
Episode 9
Step: 3 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.33548223 0.31170929 0.50554834 0.77749419 0.77127952]
Step: 4 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.33548223 0.31170929 0.50554834 0.77749419 0.77127952]
Step: 5 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.33548223 0.31170929 0.50554834 0.77749419 0.77127952]
Step: 6 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.33548223 0.31170929 0.50554834 0.77749419 0.77127952]
Step: 7 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.33548223 0.31170929 0.50554834 0.77749419 0.77127952]
Step: 8 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.33548223 0.31170929 0.50554834 0.77749419 0.77127952]
Step: 9 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.33548223 0.31170929 0.50554834 0.77749419 0.77127952]
Step: 10 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.33548223 0.31170929 0.50554834 0.77749419 0.77127952]
Step: 11 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.33548223 0.31170929 0.53212145 0.77749419 0.77127952]
Step: 12 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.33548223 0.35828778 0.53212145 0.77749419 0.77127952]
Step: 13 | State: 3 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.33548223 0.35828778 0.53212145 0.77749419 0.77127952]
Step: 14 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.33548223 0.35828778 0.53212145 0.73557355 0.77127952]
Step: 15 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.33548223 0.35828778 0.53212145 0.73557355 0.74736371]
Step: 16 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.33548223 0.35828778 0.53212145 0.69784498 0.74736371]
Step: 17 | State: 1 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.33548223 0.35828778 0.51245753 0.69784498 0.74736371]
Step: 18 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.33548223 0.322459   0.51245753 0.69784498 0.74736371]
Step: 19 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.33548223 0.322459   0.46121178 0.69784498 0.74736371]
Step: 20 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.33548223 0.2902131  0.46121178 0.69784498 0.74736371]
Step: 21 | State: 0 | Action: 0 | Next State: 0 | Reward: 0 | State Values: [0.30193401 0.2902131  0.46121178 0.69784498 0.74736371]
---------------------------
Episode 0
Step: 3 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5  0.5  0.55 0.5  0.5 ]
Step: 4 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5  0.5  0.6  0.55 0.5 ]
Step: 5 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5  0.5  0.65 0.6  0.55]
---------------------------
Episode 1
Step: 3 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5  0.5  0.65 0.6  0.55]
Step: 4 | State: 2 | Action: 0 | Next State: 1 | Reward: 0 | State Values: [0.5  0.5  0.65 0.6  0.55]
Step: 5 | State: 1 | Action: 0 | Next State: 2 | Reward: 0 | State Values: [0.5  0.5  0.65 0.6  0.55]
Step: 6 | State: 2 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5  0.51 0.65 0.6  0.55]
Step: 7 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5  0.52 0.64 0.6  0.55]
Step: 8 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5   0.538 0.63  0.6   0.55 ]
Step: 9 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5   0.556 0.612 0.6   0.55 ]
Step: 10 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5   0.574 0.594 0.6   0.55 ]
Step: 11 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5   0.592 0.576 0.6   0.55 ]
Step: 12 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5   0.61  0.558 0.6   0.55 ]
Step: 13 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5   0.628 0.54  0.6   0.55 ]
Step: 14 | State: 4 | Action: 0 | Next State: 3 | Reward: 0 | State Values: [0.5   0.646 0.522 0.6   0.55 ]
Step: 15 | State: 3 | Action: 0 | Next State: 4 | Reward: 0 | State Values: [0.5   0.664 0.504 0.6   0.55 ]
Step: 16 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5   0.682 0.486 0.64  0.55 ]
Step: 17 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5   0.7   0.468 0.68  0.595]
Step: 18 | State: 4 | Action: 0 | Next State: 4 | Reward: 1 | State Values: [0.5   0.718 0.45  0.752 0.64 ]
